CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031408520934026NH0F;06/10/2022;7;0,023;R
ES0031408520934026NH0F;06/10/2022;8;0,038;R
ES0031408520934026NH0F;06/10/2022;9;0,027;R
ES0031408520934026NH0F;06/10/2022;10;0,055;R
ES0031408520934026NH0F;06/10/2022;11;0,038;R
ES0031408520934026NH0F;06/10/2022;12;0,026;R
ES0031408520934026NH0F;06/10/2022;13;0,041;R
ES0031408520934026NH0F;06/10/2022;14;0,033;R
ES0031408520934026NH0F;06/10/2022;15;0,055;R
ES0031408520934026NH0F;06/10/2022;16;0,033;R
ES0031408520934026NH0F;06/10/2022;17;0,033;R
ES0031408520934026NH0F;06/10/2022;18;0,036;R
ES0031408520934026NH0F;06/10/2022;19;0,030;R
ES0031408520934026NH0F;06/10/2022;20;0,035;R
ES0031408520934026NH0F;06/10/2022;21;0,035;R
ES0031408520934026NH0F;06/10/2022;22;0,151;R
ES0031408520934026NH0F;06/10/2022;23;0,099;R
ES0031408520934026NH0F;06/10/2022;24;0,049;R
ES0031408520934026NH0F;07/10/2022;1;0,061;R
ES0031408520934026NH0F;07/10/2022;2;0,040;R
ES0031408520934026NH0F;07/10/2022;3;0,025;R
ES0031408520934026NH0F;07/10/2022;4;0,040;R
ES0031408520934026NH0F;07/10/2022;5;0,026;R
ES0031408520934026NH0F;07/10/2022;6;0,030;R
ES0031408520934026NH0F;07/10/2022;7;0,035;R
ES0031408520934026NH0F;07/10/2022;8;0,024;R
ES0031408520934026NH0F;07/10/2022;9;0,039;R
ES0031408520934026NH0F;07/10/2022;10;0,025;R
ES0031408520934026NH0F;07/10/2022;11;0,039;R
ES0031408520934026NH0F;07/10/2022;12;0,057;R
ES0031408520934026NH0F;07/10/2022;13;0,031;R
ES0031408520934026NH0F;07/10/2022;14;0,056;R
ES0031408520934026NH0F;07/10/2022;15;0,055;R
ES0031408520934026NH0F;07/10/2022;16;0,027;R
ES0031408520934026NH0F;07/10/2022;17;0,033;R
ES0031408520934026NH0F;07/10/2022;18;0,033;R
ES0031408520934026NH0F;07/10/2022;19;0,025;R
ES0031408520934026NH0F;07/10/2022;20;0,043;R
ES0031408520934026NH0F;07/10/2022;21;0,086;R
ES0031408520934026NH0F;07/10/2022;22;0,137;R
ES0031408520934026NH0F;07/10/2022;23;0,070;R
ES0031408520934026NH0F;07/10/2022;24;0,077;R
ES0031408520934026NH0F;08/10/2022;1;0,036;R
ES0031408520934026NH0F;08/10/2022;2;0,038;R
ES0031408520934026NH0F;08/10/2022;3;0,028;R
ES0031408520934026NH0F;08/10/2022;4;0,024;R
ES0031408520934026NH0F;08/10/2022;5;0,043;R
ES0031408520934026NH0F;08/10/2022;6;0,025;R
ES0031408520934026NH0F;08/10/2022;7;0,029;R
ES0031408520934026NH0F;08/10/2022;8;0,037;R
ES0031408520934026NH0F;08/10/2022;9;0,025;R
ES0031408520934026NH0F;08/10/2022;10;0,032;R
ES0031408520934026NH0F;08/10/2022;11;0,062;R
